DATE,TITLE,VOTER_NAME
08/09/2017,Councilmember,Omar Narvaez
09/05/2018,Vacant,
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/08/2018,Councilmember,Philip T.  Kingston
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/08/2018,Mayor,Michael S. Rawlings
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Scott  Griggs
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
06/13/2018,Councilmember,Sandy  Greyson
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/09/2017,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Kevin Felder
08/09/2017,Councilmember,Tennell Atkins
08/09/2017,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Councilmember,Scott  Griggs
08/09/2017,Councilmember,B. Adam  McGough
08/09/2017,Councilmember,Lee M. Kleinman
08/09/2017,Councilmember,Sandy  Greyson
08/09/2017,Councilmember,Jennifer S.  Gates
08/09/2017,Councilmember,Philip T.  Kingston
08/09/2017,Mayor,Michael S. Rawlings
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
08/09/2017,Councilmember,"Casey Thomas
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
08/16/2017,Mayor Pro Tem,Dwaine R. Caraway
08/16/2017,Councilmember,Rickey D.  Callahan
08/16/2017,Councilmember,Omar Narvaez
08/16/2017,Councilmember,Kevin Felder
08/16/2017,Councilmember,Tennell Atkins
08/16/2017,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Jennifer S.  Gates
08/16/2017,Councilmember,Scott  Griggs
08/16/2017,Councilmember,B. Adam  McGough
08/16/2017,Councilmember,Lee M. Kleinman
08/16/2017,Councilmember,Sandy  Greyson
08/16/2017,Councilmember,Jennifer S.  Gates
08/16/2017,Councilmember,Philip T.  Kingston
08/16/2017,Mayor,Michael S. Rawlings
08/16/2017,Deputy Mayor Pro Tem,Adam Medrano
08/16/2017,Councilmember,"Casey Thomas
08/16/2017,Mayor Pro Tem,Dwaine R. Caraway
08/16/2017,Councilmember,Rickey D.  Callahan
08/16/2017,Councilmember,Omar Narvaez
08/16/2017,Councilmember,Kevin Felder
08/16/2017,Councilmember,Tennell Atkins
08/16/2017,Councilmember,Mark  Clayton
08/16/2017,Councilmember,Scott  Griggs
08/16/2017,Councilmember,B. Adam  McGough
08/16/2017,Councilmember,Lee M. Kleinman
08/16/2017,Councilmember,Sandy  Greyson
08/16/2017,Councilmember,Jennifer S.  Gates
08/16/2017,Councilmember,Philip T.  Kingston
08/16/2017,Mayor,Michael S. Rawlings
08/16/2017,Deputy Mayor Pro Tem,Adam Medrano
08/16/2017,Councilmember,"Casey Thomas
08/16/2017,Mayor Pro Tem,Dwaine R. Caraway
08/16/2017,Councilmember,Rickey D.  Callahan
08/16/2017,Councilmember,Omar Narvaez
08/16/2017,Councilmember,Kevin Felder
08/16/2017,Councilmember,Tennell Atkins
08/16/2017,Councilmember,Mark  Clayton
08/16/2017,Councilmember,Scott  Griggs
08/16/2017,Councilmember,B. Adam  McGough
08/16/2017,Councilmember,Lee M. Kleinman
08/16/2017,Councilmember,Sandy  Greyson
08/16/2017,Councilmember,Jennifer S.  Gates
08/16/2017,Councilmember,Philip T.  Kingston
08/16/2017,Mayor,Michael S. Rawlings
08/16/2017,Deputy Mayor Pro Tem,Adam Medrano
08/16/2017,Councilmember,"Casey Thomas
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
06/27/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/18/2018,Councilmember,Scott  Griggs
04/18/2018,Councilmember,B. Adam  McGough
04/18/2018,Councilmember,Lee M. Kleinman
04/18/2018,Councilmember,Sandy  Greyson
04/18/2018,Councilmember,Jennifer S.  Gates
04/18/2018,Councilmember,Philip T.  Kingston
04/18/2018,Mayor,Michael S. Rawlings
04/18/2018,Deputy Mayor Pro Tem,Adam Medrano
04/18/2018,Councilmember,"Casey Thomas
04/18/2018,Mayor Pro Tem,Dwaine R. Caraway
04/18/2018,Councilmember,Rickey D.  Callahan
04/18/2018,Councilmember,Omar Narvaez
04/18/2018,Councilmember,Kevin Felder
04/18/2018,Councilmember,Tennell Atkins
04/18/2018,Councilmember,Mark  Clayton
04/18/2018,Councilmember,Scott  Griggs
04/18/2018,Councilmember,B. Adam  McGough
04/18/2018,Councilmember,Lee M. Kleinman
04/18/2018,Councilmember,Sandy  Greyson
04/18/2018,Councilmember,Jennifer S.  Gates
04/18/2018,Councilmember,Philip T.  Kingston
04/18/2018,Mayor,Michael S. Rawlings
04/18/2018,Deputy Mayor Pro Tem,Adam Medrano
04/18/2018,Councilmember,"Casey Thomas
04/18/2018,Mayor Pro Tem,Dwaine R. Caraway
04/18/2018,Councilmember,Rickey D.  Callahan
04/18/2018,Councilmember,Omar Narvaez
04/18/2018,Councilmember,Kevin Felder
04/18/2018,Councilmember,Tennell Atkins
04/18/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/25/2018,Councilmember,Mark  Clayton
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
08/23/2017,Councilmember,"Casey Thomas
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
